"femaDeclarationString","disasterNumber","state","declarationType","declarationDate","fyDeclared","incidentType","declarationTitle","ihProgramDeclared","iaProgramDeclared","paProgramDeclared","hmProgramDeclared","incidentBeginDate","incidentEndDate","disasterCloseoutDate","fipsStateCode","fipsCountyCode","placeCode","designatedArea","declarationRequestNumber","hash","lastRefresh","id","DT"
"DR-1287-TX",1287,"TX","DR","1999-08-23T01:30:00.000Z",1999,"Hurricane","HURRICANE BRET",0,1,0,0,"1999-08-22T00:00:00.000Z","1999-08-26T04:00:00.000Z","2010-08-27T04:00:00.000Z",48,247,99247,"Jim Hogg (County)",99073,"2414fd3c905b4b6f5edd0e16042c2067","2020-10-05T14:21:42.040Z","5f7b2bf631a8c6681cfc577e",1999-08-22
"DR-1287-TX",1287,"TX","DR","1999-08-23T01:30:00.000Z",1999,"Hurricane","HURRICANE BRET",0,1,1,1,"1999-08-22T00:00:00.000Z","1999-08-26T04:00:00.000Z","2010-08-27T04:00:00.000Z",48,61,99061,"Cameron (County)",99073,"a7486219f87a9d6bd8ce6c1afc30a9e3","2020-10-05T14:21:42.044Z","5f7b2bf631a8c6681cfc5786",1999-08-22
"DR-1287-TX",1287,"TX","DR","1999-08-23T01:30:00.000Z",1999,"Hurricane","HURRICANE BRET",0,1,1,1,"1999-08-22T00:00:00.000Z","1999-08-26T04:00:00.000Z","2010-08-27T04:00:00.000Z",48,7,99007,"Aransas (County)",99073,"0cf0bbdbea9aed23fb6f5f783c2ee2bb","2020-10-05T14:21:42.041Z","5f7b2bf631a8c6681cfc5789",1999-08-22
"DR-1287-TX",1287,"TX","DR","1999-08-23T01:30:00.000Z",1999,"Hurricane","HURRICANE BRET",0,1,1,1,"1999-08-22T00:00:00.000Z","1999-08-26T04:00:00.000Z","2010-08-27T04:00:00.000Z",48,131,99131,"Duval (County)",99073,"7bbc08adc3ebae38cc13c424e4f6af4c","2020-10-05T14:21:42.045Z","5f7b2bf631a8c6681cfc578d",1999-08-22
"DR-1287-TX",1287,"TX","DR","1999-08-23T01:30:00.000Z",1999,"Hurricane","HURRICANE BRET",0,1,1,1,"1999-08-22T00:00:00.000Z","1999-08-26T04:00:00.000Z","2010-08-27T04:00:00.000Z",48,47,99047,"Brooks (County)",99073,"be36360216fb9e3fa9580165acbec3e8","2020-10-05T14:21:42.042Z","5f7b2bf631a8c6681cfc5791",1999-08-22
"DR-1287-TX",1287,"TX","DR","1999-08-23T01:30:00.000Z",1999,"Hurricane","HURRICANE BRET",0,1,1,1,"1999-08-22T00:00:00.000Z","1999-08-26T04:00:00.000Z","2010-08-27T04:00:00.000Z",48,215,99215,"Hidalgo (County)",99073,"60dbc9eaf6df5958a370c1030681a133","2020-10-05T14:21:42.047Z","5f7b2bf631a8c6681cfc57ad",1999-08-22
"DR-1287-TX",1287,"TX","DR","1999-08-23T01:30:00.000Z",1999,"Hurricane","HURRICANE BRET",0,1,1,1,"1999-08-22T00:00:00.000Z","1999-08-26T04:00:00.000Z","2010-08-27T04:00:00.000Z",48,249,99249,"Jim Wells (County)",99073,"fae73b86f811587feb12d79d205fec74","2020-10-05T14:21:42.047Z","5f7b2bf631a8c6681cfc57b2",1999-08-22
"DR-1287-TX",1287,"TX","DR","1999-08-23T01:30:00.000Z",1999,"Hurricane","HURRICANE BRET",0,1,1,1,"1999-08-22T00:00:00.000Z","1999-08-26T04:00:00.000Z","2010-08-27T04:00:00.000Z",48,479,99479,"Webb (County)",99073,"1e932872a714b7db938e408eb9e3bb17","2020-10-05T14:21:42.054Z","5f7b2bf631a8c6681cfc57c7",1999-08-22
"DR-1287-TX",1287,"TX","DR","1999-08-23T01:30:00.000Z",1999,"Hurricane","HURRICANE BRET",0,1,1,1,"1999-08-22T00:00:00.000Z","1999-08-26T04:00:00.000Z","2010-08-27T04:00:00.000Z",48,355,99355,"Nueces (County)",99073,"d2dba30f98b18ca44634d59fffe0ca69","2020-10-05T14:21:42.052Z","5f7b2bf631a8c6681cfc57c9",1999-08-22
"DR-1287-TX",1287,"TX","DR","1999-08-23T01:30:00.000Z",1999,"Hurricane","HURRICANE BRET",0,1,1,1,"1999-08-22T00:00:00.000Z","1999-08-26T04:00:00.000Z","2010-08-27T04:00:00.000Z",48,261,99261,"Kenedy (County)",99073,"0ffb576d613bc3528de56290f26ea899","2020-10-05T14:21:42.050Z","5f7b2bf631a8c6681cfc57d3",1999-08-22
"DR-1287-TX",1287,"TX","DR","1999-08-23T01:30:00.000Z",1999,"Hurricane","HURRICANE BRET",0,1,1,1,"1999-08-22T00:00:00.000Z","1999-08-26T04:00:00.000Z","2010-08-27T04:00:00.000Z",48,489,99489,"Willacy (County)",99073,"e341b25b0bedd5b6913ce057b7619166","2020-10-05T14:21:42.057Z","5f7b2bf631a8c6681cfc57d8",1999-08-22
"DR-1287-TX",1287,"TX","DR","1999-08-23T01:30:00.000Z",1999,"Hurricane","HURRICANE BRET",0,1,1,1,"1999-08-22T00:00:00.000Z","1999-08-26T04:00:00.000Z","2010-08-27T04:00:00.000Z",48,273,99273,"Kleberg (County)",99073,"20663de6085867020a715b5fe50e8c31","2020-10-05T14:21:42.051Z","5f7b2bf631a8c6681cfc57db",1999-08-22
"DR-1287-TX",1287,"TX","DR","1999-08-23T01:30:00.000Z",1999,"Hurricane","HURRICANE BRET",0,1,1,1,"1999-08-22T00:00:00.000Z","1999-08-26T04:00:00.000Z","2010-08-27T04:00:00.000Z",48,409,99409,"San Patricio (County)",99073,"60eb80ebeab31da7e26472376bba25c4","2020-10-05T14:21:42.053Z","5f7b2bf631a8c6681cfc57ee",1999-08-22
"DR-1291-NC",1291,"NC","DR","1999-09-09T19:30:00.000Z",1999,"Hurricane","HURRICANE DENNIS",0,1,0,1,"1999-08-29T04:00:00.000Z","1999-09-11T04:00:00.000Z","2006-07-20T04:00:00.000Z",37,55,99055,"Dare (County)",99084,"fb6017edd87164780c8a4a57611baf92","2020-10-05T14:21:42.074Z","5f7b2bf631a8c6681cfc581d",1999-08-29
