"storm_id","usa_atcf_id","date","latitude","longitude","wind"
"Alberto-1988","AL011988","198808051800",32,-77.5,20
"Alberto-1988","AL011988","198808060000",32.8,-76.2,20
"Alberto-1988","AL011988","198808060600",34,-75.2,20
"Alberto-1988","AL011988","198808061200",35.2,-74.6,25
"Alberto-1988","AL011988","198808061800",37,-73.5,25
"Alberto-1988","AL011988","198808070000",38.7,-72.4,25
"Alberto-1988","AL011988","198808070600",40,-70.8,30
"Alberto-1988","AL011988","198808071200",41.5,-69,35
"Alberto-1988","AL011988","198808071800",43,-67.5,35
"Alberto-1988","AL011988","198808080000",45,-65.5,35
"Alberto-1988","AL011988","198808080600",47,-63,35
"Alberto-1988","AL011988","198808081200",49,-60,30
"Alberto-1988","AL011988","198808081800",51,-56,25
"Beryl-1988","AL021988","198808080000",30.4,-90.3,25
"Beryl-1988","AL021988","198808080600",29.7,-89.7,30
"Beryl-1988","AL021988","198808081200",29.7,-89.4,35
"Beryl-1988","AL021988","198808081800",29.4,-89.2,40
"Beryl-1988","AL021988","198808090000",29.3,-89.1,45
"Beryl-1988","AL021988","198808090600",29.6,-89.5,45
"Beryl-1988","AL021988","198808091200",30.1,-90.4,45
"Beryl-1988","AL021988","198808091800",30.1,-90.9,40
"Beryl-1988","AL021988","198808100000",30.3,-91.6,30
"Beryl-1988","AL021988","198808100600",30.7,-92.2,30
"Beryl-1988","AL021988","198808101200",31.2,-92.6,25
"Beryl-1988","AL021988","198808101800",31.7,-93.2,20
"Chris-1988","AL031988","198808211200",14.9,-43.3,25
"Chris-1988","AL031988","198808211800",14.6,-45.7,25
"Chris-1988","AL031988","198808220000",14.6,-47.8,25
"Chris-1988","AL031988","198808220600",14.7,-49.9,25
"Chris-1988","AL031988","198808221200",14.8,-51.9,30
"Chris-1988","AL031988","198808221800",15.1,-54,30
"Chris-1988","AL031988","198808230000",15.3,-55.7,30
"Chris-1988","AL031988","198808230600",15.6,-57.5,30
"Chris-1988","AL031988","198808231200",16,-59.2,30
"Chris-1988","AL031988","198808231800",16.3,-61,30
"Chris-1988","AL031988","198808240000",16.7,-62.4,30
"Chris-1988","AL031988","198808240600",16.9,-63.8,30
"Chris-1988","AL031988","198808241200",17.2,-65.2,30
"Chris-1988","AL031988","198808241800",17.5,-66.7,30
"Chris-1988","AL031988","198808250000",17.8,-67.8,30
"Chris-1988","AL031988","198808250600",18.2,-68.8,30
"Chris-1988","AL031988","198808251200",18.5,-69.8,30
"Chris-1988","AL031988","198808251800",19.1,-70.9,30
"Chris-1988","AL031988","198808260000",19.8,-72.1,30
